#         t          x          y          z         vx         vy         vz
      0.000   -377.770    611.470   -284.600     73.030    -72.140     49.530
      0.071   -372.420    606.230   -281.090     74.910    -76.630     52.870
      0.143   -367.220    600.880   -277.490     73.470    -75.610     50.520
      0.214   -360.960    594.790   -273.710     70.540    -78.500     55.720
      0.286   -356.480    589.850   -270.410     71.380    -80.130     50.240
      0.357   -351.280    584.140   -266.960     71.880    -82.670     48.370
      0.429   -346.160    578.310   -263.620     68.750    -81.690     45.400
      0.500   -341.660    572.600   -260.520     68.570    -82.350     41.910
      0.571   -336.530    566.220   -256.780     65.060    -82.210     44.290
      0.643   -331.960    560.220   -253.510     63.830    -84.020     44.620
      0.714   -327.760    554.330   -250.350     57.480    -82.540     43.830
      0.786   -323.830    548.530   -247.260     52.420    -80.620     43.660
      0.857   -320.260    543.010   -244.390     46.880    -76.360     41.700
      0.929   -316.790    537.690   -241.540     45.490    -72.250     39.650
      1.000   -314.210    532.800   -238.250     45.730    -68.400     41.550
      1.071   -310.340    527.690   -235.120     42.260    -65.200     48.630
      1.143   -307.190    523.020   -231.550     45.350    -62.340     49.020
      1.214   -304.280    518.560   -227.630     47.570    -61.540     53.130
      1.286   -300.390    514.020   -223.910     47.620    -61.290     58.750
      1.357   -296.830    509.680   -219.790     52.390    -61.160     59.600
      1.429   -292.960    505.270   -215.520     54.790    -62.490     62.580
      1.500   -288.930    500.850   -211.060     59.110    -62.810     62.760
      1.571   -284.720    496.350   -206.500     60.440    -63.560     63.420
      1.643   -280.220    491.720   -201.830     63.590    -65.110     66.020
      1.714   -275.570    487.010   -197.070     69.970    -68.260     66.910
      1.786   -270.590    482.120   -192.130     73.800    -69.130     68.160
      1.857   -265.430    477.270   -187.320     76.790    -71.910     69.450
      1.929   -260.030    472.150   -182.150     77.980    -70.880     71.000
      2.000   -254.420    467.030   -177.260     79.310    -73.360     71.510
      2.071   -248.720    461.650   -172.150     81.620    -77.830     72.420
      2.143   -242.650    456.010   -167.020     84.150    -81.330     75.250
      2.214   -236.330    450.150   -161.760     85.920    -82.560     74.000
      2.286   -230.090    444.390   -156.660     90.350    -84.260     71.720
      2.357   -224.000    438.140   -151.060     92.430    -87.650     71.390
      2.429   -217.600    431.700   -145.700     89.700    -91.720     71.340
      2.500   -211.170    425.090   -140.460     91.220    -94.650     73.170
      2.571   -204.660    418.260   -135.170     92.860    -96.490     73.940
      2.643   -198.110    411.240   -129.780     91.240    -96.520     73.550
      2.714   -191.410    404.200   -124.480     92.860    -98.860     73.130
      2.786   -184.530    396.960   -119.110     94.000   -102.070     77.000
      2.857   -177.800    389.600   -113.570     96.490   -104.210     77.360
      2.929   -170.880    382.000   -107.940     95.870   -105.770     77.160
      3.000   -163.830    374.140   -102.280     96.870   -111.340     79.590
      3.071   -156.720    365.920    -96.370     97.670   -112.720     82.890
      3.143   -149.330    357.470    -90.380    101.460   -118.950     83.560
      3.214   -142.030    348.790    -84.310    102.800   -121.870     83.610
      3.286   -134.460    339.750    -78.220    107.240   -130.060     87.430
      3.357   -127.550    330.780    -71.810    112.220   -134.270     86.370
      3.429   -118.780    320.120    -65.390    113.350   -144.920     88.240
      3.500   -110.560    309.510    -59.230    119.240   -158.330     87.470
      3.571   -102.060    297.830    -52.990    116.900   -169.720     90.320
      3.643    -93.470    285.370    -46.920    122.840   -182.870     86.620
      3.714    -84.410    271.680    -41.130    124.340   -200.690     82.370
      3.786    -75.740    256.190    -34.920    122.870   -226.950     70.980
      3.857    -66.470    239.150    -30.990    122.890   -260.230     53.360
      3.929    -58.440    219.150    -28.240     96.060   -299.620     13.200
      4.000    -53.560    197.830    -29.500     42.440   -285.150    -53.010
      4.071    -51.600    179.820    -35.190     18.740   -232.690    -68.990
      4.143    -50.680    165.340    -39.970     21.050   -186.380    -59.210
      4.214    -49.460    153.340    -43.620     26.490   -159.820    -41.500
      4.286    -48.080    142.940    -46.060     27.790   -135.990    -25.940
      4.357    -46.690    133.950    -47.230     26.380   -115.340    -14.800
      4.429    -45.550    126.320    -47.890     22.380    -99.880     -4.530
      4.500    -44.460    119.920    -48.200     23.710    -83.050      0.210
      4.571    -43.260    114.450    -48.190     19.620    -67.660      4.650
      4.643    -41.890    108.940    -46.720     15.150    -54.540      9.110
      4.714    -40.770    105.470    -45.960     14.990    -43.840     14.260
      4.786    -39.780    102.890    -45.080     13.010    -32.740     14.930
