#         t          x          y          z         vx         vy         vz
      0.000     -2.040      3.100     -1.470      0.330      4.370     -0.440
      0.071     -1.860      3.110     -1.460     -1.140      8.060     -0.360
      0.143     -1.900      3.230     -1.550     -3.260      9.130     -0.930
      0.214     -2.230      3.390     -1.590     -2.950      8.010      0.070
      0.286     -2.460      3.790     -1.610     -4.330      8.170     -0.190
      0.357     -2.630      4.360     -1.570     -6.050      7.160      0.600
      0.429     -3.310      4.660     -1.630     -9.210     12.740     -2.320
      0.500     -3.460      5.590     -1.820     -4.550     10.470     -2.790
      0.571     -3.680      6.120     -2.040     -3.220      6.670     -1.920
      0.643     -3.920      6.570     -2.160     -5.250      4.250     -1.810
      0.714     -4.010      7.010     -2.220     -7.780      5.750     -0.880
      0.786     -4.440      7.440     -2.560     -8.800      9.270     -6.520
      0.857     -5.140      8.200     -3.180    -10.310      6.860     -9.650
      0.929     -5.940      9.090     -3.710    -11.840     10.990     -9.230
      1.000     -6.570     10.250     -4.300     -6.100     10.320     -7.740
      1.071     -7.010     11.070     -4.870     -4.010     10.870     -8.510
      1.143     -7.480     12.060     -5.620     -5.040     16.880    -10.640
      1.214     -8.080     13.190     -6.400     -8.100     15.300    -11.180
      1.286     -8.680     14.520     -7.150     -9.220     16.230    -10.910
      1.357     -9.250     15.870     -7.940    -11.280     18.130    -11.240
      1.429     -9.930     17.080     -8.830    -11.090     14.210    -13.490
      1.500    -10.690     18.320     -9.810    -12.980     21.770    -14.820
      1.571    -11.500     19.720    -10.850    -11.180     23.840    -15.700
      1.643    -12.400     21.410    -11.800    -14.120     26.070    -12.710
      1.714    -13.340     23.290    -12.740    -12.050     27.320    -14.220
      1.786    -14.360     25.290    -13.750    -14.020     25.610    -15.660
      1.857    -15.360     27.230    -14.820    -17.940     27.650    -15.170
      1.929    -16.620     29.300    -15.780    -24.170     29.690    -15.030
      2.000    -18.260     31.620    -16.880    -22.650     35.010    -15.280
      2.071    -19.760     34.210    -17.990    -22.330     39.560    -16.570
      2.143    -21.280     37.040    -19.180    -17.880     40.360    -15.540
      2.214    -22.650     39.930    -20.440    -19.250     39.080    -19.060
      2.286    -24.290     42.830    -21.830    -23.480     38.870    -19.200
      2.357    -25.920     45.870    -23.150    -24.840     43.970    -19.260
      2.429    -27.650     49.110    -24.490    -23.910     44.050    -19.480
      2.500    -29.410     52.180    -25.890    -24.620     49.840    -20.180
      2.571    -31.110     55.980    -27.360    -24.870     54.520    -21.940
      2.643    -33.160     59.740    -28.770    -26.110     54.550    -19.380
      2.714    -34.970     63.750    -30.280    -26.360     55.530    -22.120
      2.786    -36.920     67.780    -31.900    -28.170     58.230    -24.090
      2.857    -39.090     72.120    -33.610    -31.570     63.670    -23.870
      2.929    -41.240     76.880    -35.400    -30.660     66.520    -27.930
      3.000    -43.310     81.840    -37.420    -30.850     73.130    -28.380
      3.071    -45.060     86.860    -39.470    -34.350     79.230    -28.070
      3.143    -47.310     92.910    -41.540    -34.700     81.060    -30.330
      3.214    -49.610     99.180    -43.720    -36.650     83.100    -30.240
      3.286    -52.370    105.500    -45.730    -39.970     89.280    -30.470
